filename	text
reject-01.wav	垃圾桶都標字了，你還能猜錯。
reject-02.wav	分類不是占卜，不用靠直覺。
reject-03.wav	可回收三個字，真的很難嗎？
reject-04.wav	你丟垃圾的手法，很有創意災難。
reject-05.wav	垃圾分類，不是給垃圾看的。
reject-06.wav	這不是投籃，是分類。
reject-07.wav	你跟標示牌是不是有仇？
reject-08.wav	地球看到你，應該有點累。
reject-09.wav	連垃圾都想回家，你卻送錯站。
reject-10.wav	你的分類方式，像在抽籤。
reject-11.wav	這桶不是萬用許願池。
reject-12.wav	廚餘不是紙類，謝謝你的想像力。
reject-13.wav	瓶罐有家，不要亂寄宿。
reject-14.wav	你丟錯的瞬間，地球沉默了。
reject-15.wav	分類桶不是裝飾品，可以看一下。
reject-16.wav	垃圾都比你更想被分類。
reject-17.wav	你這一丟，回收員開始懷疑人生。
reject-18.wav	標籤那麼大，你還能無視。
reject-19.wav	你的垃圾分類，主打一個自由奔放。
reject-20.wav	不會分類沒關係，會看字就好。
reject-21.wav	這不是大雜燴，請尊重垃圾。
reject-22.wav	你丟得很快，但錯得很穩。
reject-23.wav	回收桶不是什麼都回收你。
reject-24.wav	垃圾分類考試，你可能要補考。
reject-25.wav	你跟正確桶之間，只差一眼。
reject-26.wav	這操作，連垃圾都想抗議。
reject-27.wav	分類很簡單，真的不用開天眼。
reject-28.wav	你丟錯桶的自信，令人佩服。
reject-29.wav	這不是隨機模式，是垃圾分類。
reject-30.wav	請給垃圾一個正確的歸宿。
